id,country,location,name,lat,lng
AOBUG,AO,BUG,Benguela,-12.57,13.4
AOCAB,AO,CAB,Cabinda,-5.55,12.19
AOCAV,AO,CAV,Cazombo,-11.89,22.9
AOCBT,AO,CBT,Catumbela,-12.43,13.54
AOCEO,AO,CEO,Waku Kungo,-11.21,15.07
AOCFF,AO,CFF,Cafunfo,-8.76,18
AOCLV,AO,CLV,CLOV FPSO,-7.27,11.34
AOCNZ,AO,CNZ,Cangamba,-13.69,19.85
AOCPO,AO,CPO,Capulo,-7.59,13.1
AOCTI,AO,CTI,Cuito Cuanavale,-15.16,19.17
AOCUI,AO,CUI,Cuio,-12.59,12.59
AODAL,AO,DAL,Dalia,-7.41,11.47
AODGR,AO,DGR,Dombe Grande,-12.94,13.09
AODRC,AO,DRC,Dirico,-17.98,20.77
AODUE,AO,DUE,Dundo,-7.37,20.83
AOETN,AO,ETN,Essungo Terminal,-6.2,12.1
AOFBY,AO,FBY,Farta Bay,-12.37,13.12
AOFLT,AO,FLT,Futila Terminal,-5.27,12.11
AOGGC,AO,GGC,Lumbala,-12.64,22.58
AOGIM,AO,GIM,Gimboa,-7.32,12.1
AOGIR,AO,GIR,Girassol Terminal,-7.38,11.41
AOGPO,AO,GPO,Greater Plutonio,-7.5,12.07
AOGXG,AO,GXG,Negage,-7.76,15.26
AOJMB,AO,JMB,Jamba,-17.5,22.72
AOKNP,AO,KNP,Capanda,-9.77,15.44
AOKOT,AO,KOT,Kuito Terminal,-5.26,11.29
AOKTI,AO,KTI,Kiame Terminal,,
AOLAA,AO,LAA,Landana (Cacongo),-5.22,12.14
AOLAD,AO,LAD,Luanda,-8.82,13.24
AOLBT,AO,LBT,Lombo Terminal,-6.59,12.21
AOLBZ,AO,LBZ,Lukapa,-8.41,20.74
AOLIE,AO,LIE,Lieura,,
AOLOB,AO,LOB,Lobito,-12.35,13.54
AOLUC,AO,LUC,Lucira,-13.86,12.52
AOLUO,AO,LUO,Luena,-11.77,19.91
AOLZM,AO,LZM,Luzamba,-9.11,18.04
AOMAL,AO,MAL,Malongo,-5.39,12.2
AOMDZ,AO,MDZ,Maquela Do Zombo,-6.04,15.06
AOMEG,AO,MEG,Malange,-8.09,19
AOMLO,AO,MLO,Malembo,-5.37,12.21
AOMOS,AO,MOS,Mocamedes,-15.1,12.09
AOMSZ,AO,MSZ,Namibe,-15.19,12.15
AOMTL,AO,MTL,Matala,-14.44,15.02
AONDD,AO,NDD,Sumbe,-11.2,13.83
AONDF,AO,NDF,N'dalatando,-9.18,14.55
AONGV,AO,NGV,Ondjiva,-17.04,15.44
AONOV,AO,NOV,Huambo,-12.77,15.73
AONQI,AO,NQI,Nóqui,-5.51,13.26
AONRQ,AO,NRQ,N'Riquinha,,
AONTO,AO,NTO,N'Zeto (Ambrizete),-7.16,12.51
